JQID,STATUS,AGENCY,LINE,NAME,Type,Year,LATITUDE,LONGITUDE,Pre 1970,ZIP,ZIP_NAME,STATE,POP2010
1203,Existing Transit,MBTA,Newburyport/Rockport Line,North Beverly,c,1950,42.582471,-70.884501,1,01915,Beverly,MA,39901
1204,Existing Transit,MBTA,Newburyport/Rockport Line,Prides Crossing,c,1950,42.559513,-70.824813,1,01915,Beverly,MA,39901
1301,Existing Transit,Metra,Burlington Northern(BNSF),Berwyn Metra,c,,41.8330556,-87.7936111,,60402,Berwyn,IL,59036
1302,Existing Transit,Metra,Burlington Northern(BNSF),Brookfield Metra,c,,41.8219444,-87.8430556,,60513,Brookfield,IL,18289
1303,Existing Transit,Metra,Burlington Northern(BNSF),Cicero Metra,c,,41.8441667,-87.7455556,,60804,Cicero,IL,87190
1304,Existing Transit,Metra,Burlington Northern(BNSF),Clarendon Hills Metra,c,,41.7969444,-87.9536111,,60514,Clarendon Hills,IL,9491
1537,Existing Transit,Metro,Metro Blue Line (801),103rd Street Station,,1990,33.942702,-118.24324,,90002,Los Angeles,CA,49635
1538,Existing Transit,Metro,Metro Blue Line (801),1st Street Station,,1990,33.768078,-118.189832,,90802,Long Beach,CA,44337
1539,Existing Transit,Metro,Metro Blue Line (801),5th Street Station,,1990,33.772348,-118.189364,,90802,Long Beach,CA,44337
1540,Existing Transit,Metro,Metro Blue Line (801),7th Street / Metro Center Station,,1991,34.048706,-118.258738,,90017,Los Angeles,CA,29383
1665,Existing Transit,Metrolink,"Orange County Line, Inland Emp.-Orange Co. Line",Laguna Niguel/ Mission Viejo Metrolink Station,c,1994,33.5539,-117.675,,92677,Laguna Niguel,CA,66232
1666,Existing Transit,Metrolink,"Orange County Line, Inland Emp.-Orange Co. Line",Orange Metrolink Station,c,1994,33.7887786,-117.8572977,,92866,Orange,CA,15839
1667,Existing Transit,Metrolink,"Orange County Line, Inland Emp.-Orange Co. Line",San Juan Capistrano Metrolink Station,c,1994,33.5014,-117.6637,,92675,San Juan Capistrano,CA,37446
1668,Existing Transit,Metrolink,"Orange County Line, Inland Emp.-Orange Co. Line",Santa Ana Metrolink Station,c,1994,33.7515219,-117.8559803,,92701,Santa Ana,CA,62106
1753,Existing Transit,Metro-North Railroad,Hudson,Hastings-on-Hudson,c,,40.994109,-73.884512,,10706,Hastings on Hudson,NY,8730
1754,Existing Transit,Metro-North Railroad,Hudson,Irvington,c,,41.039993,-73.873083,,10533,Irvington,NY,7640
1755,Existing Transit,Metro-North Railroad,Hudson,Ludlow,c,,40.924972,-73.904612,,10705,Yonkers,NY,38548
