User,Segment ID,description,start_lat,start_lng,end_lat,end_lng,Meta.1,Meta.1_impediment,Meta.2,Meta.2_impediment,Meta.6,Meta.6_impediment,Meta.7,Meta.7_impediment,PEDS.3,PEDS.3_impediment,Minn-Irvine.9,Minn-Irvine.9_impediment,PEDS.23.2,PEDS.23.2_impediment,Minn-Irvine.2,Minn-Irvine.2_impediment,Minn-Irvine.4,Minn-Irvine.4_impediment,PEDS.23.4,PEDS.23.4_impediment,PEDS.23.3,PEDS.23.3_impediment,Minn-Irvine.8,Minn-Irvine.8_impediment,Minn-Irvine.21,Minn-Irvine.21_impediment,PEDS.14,PEDS.14_impediment,Minn-Irvine.151,Minn-Irvine.151_impediment,PEDS.19,PEDS.19_impediment,Minn-Irvine.108,Minn-Irvine.108_impediment,Minn-Irvine.123,Minn-Irvine.123_impediment,PEDS.24.1,PEDS.24.1_impediment,PEDS.4.1,PEDS.4.1_impediment,PEDS.12,PEDS.12_impediment,PEDS.6,PEDS.6_impediment,PEDS.9,PEDS.9_impediment,PEDS.8.2,PEDS.8.2_impediment,PEDS.35,PEDS.35_impediment,Minn-Irvine.159,Minn-Irvine.159_impediment,Minn-Irvine.178,Minn-Irvine.178_impediment,CCAHS.2,CCAHS.2_impediment,CCAHS.4,CCAHS.4_impediment,CCAHS.5,CCAHS.5_impediment,CCAHS.8,CCAHS.8_impediment,CCAHS.9,CCAHS.9_impediment,PEDS.1.4,PEDS.1.4_impediment,PEDS.1.5,PEDS.1.5_impediment,PEDS.1.6,PEDS.1.6_impediment,PEDS.1.7,PEDS.1.7_impediment,PEDS.1.8,PEDS.1.8_impediment,Minn-Irvine.33,Minn-Irvine.33_impediment,Minn-Irvine.34,Minn-Irvine.34_impediment,Minn-Irvine.127,Minn-Irvine.127_impediment,Minn-Irvine.132,Minn-Irvine.132_impediment,MIUDQ.10,MIUDQ.10_impediment,PEDS.33,PEDS.33_impediment,Minn-Irvine.130,Minn-Irvine.130_impediment,Minn-Irvine.22,Minn-Irvine.22_impediment,Minn-Irvine.17,Minn-Irvine.17_impediment,Minn-Irvine.119,Minn-Irvine.119_impediment,Minn-Irvine.120,Minn-Irvine.120_impediment,MIUDQ.18,MIUDQ.18_impediment,PEDS.26.1,PEDS.26.1_impediment,PEDS.2,PEDS.2_impediment,PEDS.28,PEDS.28_impediment,PHDCN.1,PHDCN.1_impediment,PHDCN.2,PHDCN.2_impediment,PHDCN.3,PHDCN.3_impediment,PHDCN.4,PHDCN.4_impediment,PHDCN.5,PHDCN.5_impediment,PHDCN.6,PHDCN.6_impediment,PHDCN.7,PHDCN.7_impediment
22,405,"   1405 South 50th Street, Philadelphia, Pennsylvania",39.939428,-75.213213,39.939988,-75.213843,7,,4,,0,,0,,0,,1,,1,,0,,2,,1,,1,,0,,1,,1,,0,,1,,0,,1,,1,,1,,0,,1,,0,,1,,3,,0,,0,,1,,1,,1,,0,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,0,,2,,0,,0,,1,,1,,1,,1,,1,,0,,0,,0,,1,,0,,1,,2,,1,,0,
19,406,"   3105 Reed Street, Philadelphia, Pennsylvania",39.936551,-75.195976,39.936488,-75.195439,4,,0,,1,,0,,0,,4,,1,,1,,2,,1,,1,,1,,0,,2,,0,,1,,0,,1,,1,,1,,0,,0,,0,,1,,3,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,0,,100,,0,,1,,1,,1,,1,,1,,1,,1,,0,,0,,0,,1,,0,,1,,3,,1,,1,
20,407,"   1415 South Etting Street, Philadelphia, Pennsylvania",39.93574,-75.1897,39.934522,-75.189962,13,,0,,1,,0,,0,,1,,1,,1,,2,,1,,1,,0,,0,,2,,0,,1,,0,,1,,1,,1,,0,,1,,0,,0,,3,,1,,1,,1,,1,,1,,0,,0,,1,,0,,1,,1,,1,,1,,1,,2,,1,,100,,0,,0,,1,,1,,1,,0,,0,,0,,0,,0,,0,,1,,1,,1,,2,,1,,0,
20,408,"   2330 Gerritt Street, Philadelphia, Pennsylvania",39.934374,-75.182639,39.934609,-75.184268,15,,0,,1,,0,,1,,1,,1,,1,,2,,1,,1,,1,,0,,1,,0,,1,,0,,1,,1,,1,,0,,2,,0,,1,,3,,1,,0,,1,,1,,1,,0,,1,,1,,1,,1,,0,,1,,1,,1,,2,,1,,100,,0,,0,,1,,1,,1,,0,,1,,1,,0,,0,,0,,0,,0,,1,,3,,1,,0,
21,409,"   1981 Wilder Street, Philadelphia, Pennsylvania",39.933368,-75.177554,39.933165,-75.175975,14,,0,,1,,0,,1,,1,,1,,1,,2,,1,,1,,0,,0,,1,,0,,1,,0,,1,,1,,1,,0,,2,,0,,1,,3,,1,,0,,1,,1,,1,,0,,1,,1,,1,,1,,0,,1,,1,,1,,2,,1,,80,,0,,1,,0,,1,,1,,1,,0,,1,,0,,0,,0,,1,,1,,1,,2,,1,,0,
21,410,"   1479 South 16th Street, Philadelphia, Pennsylvania",39.933346,-75.171091,39.93212,-75.171321,13,,5,,1,,0,,1,,1,,1,,0,,2,,1,,1,,0,,0,,1,,0,,1,,0,,1,,1,,1,,0,,1,,0,,1,,3,,1,,0,,1,,1,,0,,0,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,100,,0,,0,,0,,1,,1,,1,,0,,1,,0,,0,,0,,1,,0,,1,,2,,1,,0,
20,411,"   1501 South Iseminger Street, Philadelphia, Pennsylvania",39.93134,-75.165312,39.930123,-75.165582,15,,10,,1,,0,,0,,4,,1,,2,,-2,,1,,1,,0,,0,,2,,0,,1,,0,,1,,1,,1,,0,,0,,0,,1,,3,,1,,1,,1,,0,,1,,0,,0,,1,,0,,1,,1,,1,,1,,1,,2,,1,,100,,0,,1,,1,,1,,1,,0,,0,,0,,0,,0,,0,,1,,1,,1,,2,,1,,1,
20,412,"    835 Greenwich Street, Philadelphia, Pennsylvania",39.929975,-75.158218,39.930169,-75.159775,12,,4,,1,,0,,0,,4,,1,,1,,0,,1,,1,,0,,0,,1,,0,,1,,0,,1,,1,,1,,0,,0,,0,,0,,3,,1,,1,,1,,1,,1,,0,,0,,1,,1,,1,,1,,1,,1,,1,,2,,1,,100,,0,,1,,0,,1,,1,,0,,0,,1,,0,,0,,0,,1,,0,,1,,2,,1,,0,
19,413,"    456 Greenwich Street, Philadelphia, Pennsylvania",39.929347,-75.153535,39.929111,-75.151957,13,,0,,1,,0,,1,,1,,1,,1,,2,,1,,1,,0,,0,,2,,0,,1,,0,,1,,1,,1,,0,,0,,0,,1,,3,,1,,0,,1,,1,,1,,0,,1,,1,,1,,1,,0,,1,,1,,1,,2,,1,,75,,0,,1,,1,,1,,1,,1,,1,,0,,0,,0,,0,,1,,0,,1,,2,,1,,1,
19,414,"   6234 Christian Street, Philadelphia, Pennsylvania",39.949914,-75.247338,39.950118,-75.249379,17,,0,,1,,0,,1,,1,,1,,0,,0,,1,,1,,0,,1,,1,,0,,1,,0,,1,,1,,1,,0,,0,,0,,0,,3,,1,,0,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,0,,1,,1,,1,,1,,1,,0,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,
